ranking,title,artist
1,Flowers,Miley Cyrus
2,VIBE (feat. Jimin of BTS),TAEYANG
3,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
4,wait in the truck,HARDY & Lainey Wilson
5,Anti-Hero,Taylor Swift
6,Unholy,Sam Smith & Kim Petras
7,Made You Look,Meghan Trainor
8,Heart Like A Truck,Lainey Wilson
9,Thought You Should Know,Morgan Wallen
10,Son Of A Sinner,Jelly Roll
11,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
12,Thank God,Kane Brown & Katelyn Brown
13,This Is Our God,Phil Wickham
14,Lights Out,Lisa Marie Presley
15,Looking for You,Chris Young
16,Temperature,Sean Paul
17,Shoot Tequila,Tigirlily Gold
18,People Get Ready,Jeff Beck & Rod Stewart
19,Something in the Orange (Z&E's Version),Zach Bryan
20,I'm Good (Blue),David Guetta & Bebe Rexha
21,Separate Ways (Worlds Apart) [feat. Lzzy Hale],Daughtry
22,Wasted (feat. Kodak Black & Koe Wetzel),Diplo
23,I Ain't Worried,OneRepublic
24,Runs in the Water,Royale Lynn
25,Unstoppable,Sia
26,You Proof,Morgan Wallen
27,Rock and a Hard Place,Bailey Zimmerman
28,One Thing At A Time,Morgan Wallen
29,Wasted On You,Morgan Wallen
30,Calm Down,Rema & Selena Gomez
31,Kill Bill,SZA
32,Wildfire,Sami Thompson
33,As It Was,Harry Styles
34,Bloody Mary,Lady Gaga
35,Players,Coi Leray
36,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
37,Million Dollar Baby,Ava Max
38,Where No One Stands Alone [with Lisa Marie Presley] [2018 Version],Elvis Presley
39,"Going, Going, Gone",Luke Combs
40,What My World Spins Around,Jordan Davis
41,CUFF IT,Beyoncé
42,The Kind of Love We Make,Luke Combs
43,golden hour,JVKE
44,Cooler Than Me (Single Mix),Mike Posner
45,Hurts to Love You,Nick Carter
46,Under the Influence,Chris Brown
47,I Ain't a Bitch,Alaura Lynne
48,NEED A FAVOR,Jelly Roll
49,Hold Me Closer,Elton John & Britney Spears
50,Mine,Bazzi
51,REASON,Dreamcatcher
52,Hold My Hand,Lady Gaga
53,Wreckage,Nate Smith
54,Fall In Love,Bailey Zimmerman
55,Bebe Dame,Fuerza Regida & Grupo Frontera
56,On Wat U On,Moneybagg Yo & GloRilla
57,Gratitude,Brandon Lake
58,Ghost,Tom MacDonald
59,Tennessee Orange,Megan Moroney
60,These Tears,Andy Grammer
61,Tennessee Whiskey,Chris Stapleton
62,Freeway Jam,Jeff Beck
63,Que Vuelvas,Carin Leon & Grupo Frontera
64,Cause We've Ended As Lovers,Jeff Beck
65,Let Em Go,Matt Hansen
66,I'm Good (Blue),David Guetta & Bebe Rexha
67,I Love You Because (with Lisa Marie Presley),Elvis Presley
68,Shivers,Ed Sheeran
69,She Had Me At Heads Carolina,Cole Swindell
70,Pick Me Up,Gabby Barrett
71,Me Against the Music (feat. Madonna) [LP Version / Video Mix],Britney Spears featuring Madonna
72,About Damn Time,Lizzo
73,Handle On You,Parker McCollum
74,Escapism.,RAYE & 070 Shake
75,Just Wanna Rock,Lil Uzi Vert
76,It's a Beautiful Day (Reprise),The Kiffness & Rushawn
77,Chasin' You,Morgan Wallen
78,How Do I Say Goodbye,Dean Lewis
79,Rich Flex,Drake & 21 Savage
80,Monotonía,Shakira & Ozuna
81,All Dogs Go to Heaven,Chris Young
82,Something in the Orange,Zach Bryan
83,Build a Boat,Colton Dixon
84,Run Away to Mars,TALK
85,I'm a Believer,The Monkees
86,Daydream,Lily Meola
87,Forget Me,Lewis Capaldi
88,Way of the Triune God (Hallelujah Version),Tyler Childers
89,Tishomingo,Zach Bryan
90,10:35,Tiësto & Tate McRae
91,What He Didn't Do,Carly Pearce
92,Suspicious Minds,Elvis Presley
93,Victoria’s Secret,Jax
94,Just Pretend,Bad Omens
95,The Summoning,Sleep Token
96,Cold Heart (PNAU Remix),Elton John & Dua Lipa
97,Sober,P!nk
98,Die For You,The Weeknd
99,Trench,FETISH
100,Easier Said with Rum,Old Dominion
